200 0.02
400 0.59
600 1.15
800 2.18
1000 3.31
1200 5.19
1400 6.88
1600 9.11
1800 11.06
2000 14.68
2200 16.85
2400 20.75
2600 23.92
2800 28.69
3000 33.99
3200 37.58
3400 41.77
3600 46.51
3800 53.57
4000 58.97
4200 65.68
4400 72.00
4600 79.46
4800 83.99
5000 96.78
